Id,SalePrice
1461,130728.16671536425
1462,191852.5753875784
1463,193631.93430945254
1464,204568.1176572855
1465,170179.60472478112
1466,188471.2040645925
1467,186673.06864944057
1468,160093.53962625537
1469,185599.3960459484
1470,130944.40192436374
1471,186567.83593884038
1472,99018.02197088969
1473,86735.71000671964
1474,143849.08333869706
1475,93424.57264391374
1476,290060.0050045695
1477,201406.76801929108
1478,241888.3217882173
1479,246903.6425975326
1480,368506.9739601071
1481,293527.10401120776
1482,187121.1189944463
1483,175077.89745232376
1484,149570.99044962449
1485,151808.28473269477
1486,193417.8928174541
1487,309107.3594476135
1488,215491.8964773352
1489,172302.45775005192
1490,210186.57592765812
1491,191100.4998691144
1492,127671.9435067819
1493,195191.5596868375
1494,262507.3591315491
1495,261547.37470367982
1496,196486.01075440162
1497,164853.41166258152
1498,127516.16210044033
1499,124052.52266336557
1500,125555.97596368089
1501,138617.9492927476
1502,99454.62160075898
1503,236106.76541874136
1504,230833.79282289007
1505,228075.53741462796
1506,239974.5605666833
1507,278509.9681986305
1508,218113.60382752828
1509,180546.37595751393
1510,181688.56978007374
1511,138548.36634508916
1512,205038.57219443386
1513,211506.53959476744
1514,215548.45114942617
1515,280749.51293597964
1516,151990.5982984163
1517,140793.47114872016
1518,202484.22056432
1519,212440.2704876369
1520,143551.87884566956
1521,155237.7786479083
1522,210796.08185767123
1523,140988.70435212267
1524,133437.05463463048
1525,97994.05035630017
1526,118855.14461533751
1527,122552.78898111697
1528,167809.13699161581
1529,148171.3838252917
1530,231044.39738725527
1531,189976.6556684547
1532,99976.46390187345
1533,163736.32093887066
1534,135767.747553006
1535,173289.72314715807
1536,106638.53690966134
1537,103369.02163990546
1538,167810.2279814316
1539,241795.15771214222
1540,223296.8733781033
1541,155676.76872777886
1542,164263.2808522931
1543,201735.73270657694
1544,96251.95271381081
1545,97039.2963400732
1546,128039.74552479593
1547,154407.45974174535
1548,151455.3770383541
1549,124436.06358956546
1550,155752.45519196126
1551,117996.99231445782
1552,165108.15852695244
1553,196947.41961461288
1554,106149.8396806531
1555,227094.09117876954
1556,98840.12709170177
1557,140796.90977179524
1558,94732.26432731497
1559,156171.59428252705
1560,184303.96908194345
1561,235621.1146044197
1562,113523.00340431635
1563,129664.43530356631
1564,172066.47920916846
1565,168524.50378179492
1566,231590.5737033965
1567,101628.67642207976
1568,249734.80577817085
1569,160303.32001552964
1570,135738.14500664832
1571,108253.83937397765
1572,166745.5864932908
1573,192510.8309966153
1574,180941.0577391089
1575,229716.38605675643
1576,238171.1840302928
1577,160144.39124806435
1578,159677.02401272848
1579,125644.66313681891
1580,178687.80840527196
1581,167645.12358393293
1582,108443.27083562211
1583,268696.46723286406
1584,243746.23720307575
1585,110268.43870808376
1586,78528.65547482217
1587,122512.081609693
1588,152316.11954623385
1589,130995.74770746403
1590,134225.3914133642
1591,119954.15925051019
1592,149576.57799744254
1593,115884.90425549453
1594,225890.5232263648
1595,191235.4190197204
1596,213225.03918436333
1597,220858.6963056266
1598,172575.54775243287
1599,133669.15209003323
1600,154643.35448004713
1601,65948.19592693786
1602,135879.27142003167
1603,87227.68492286449
1604,213443.7327425314
1605,207519.80450393254
1606,194237.61948264932
1607,255854.5436396739
1608,187407.67504235904
1609,158603.57298082023
1610,157408.6022086452
1611,159944.0917126259
1612,180543.99253720272
1613,198686.5479436781
1614,115621.23375879187
1615,106378.14213372942
1616,90720.83770311381
1617,83052.22208846686
1618,109711.61632960403
1619,142340.82350083417
1620,244677.9920361894
1621,130224.8397085029
1622,147062.31049190127
1623,221144.95871175072
1624,247001.72886532705
1625,111865.19463704622
1626,189885.72781295408
1627,195845.3866340916
1628,242100.7051079449
1629,176628.3828663511
1630,323917.2640326841
1631,202909.88607172412
1632,227848.4367187615
1633,164830.825407369
1634,179355.51808301613
1635,156650.07153175143
1636,152381.61381412743
1637,226288.73192799074
1638,254392.84783206345
1639,238910.5875875302
1640,306581.4680648725
1641,215523.1254531322
1642,194020.05893613206
1643,208966.35877024644
1644,212155.0105297981
1645,228574.7349085718
1646,141873.55144048078
1647,155250.0410193587
1648,153442.12803865672
1649,132726.28743271908
1650,125264.73964396695
1651,125666.07282235246
1652,78117.7328090629
1653,78083.18950061445
1654,142948.05003055464
1655,117773.10236489377
1656,134141.14681732943
1657,143198.70486838283
1658,142621.555678897
1659,103074.96043756619
1660,144668.18726454984
1661,323179.3741681981
1662,299568.6838212761
1663,285118.3154178362
1664,368897.4331773845
1665,259192.71555996942
1666,246712.583852068
1667,315965.1435194104
1668,242068.57695148123
1669,217558.89319975075
1670,251285.85383527627
1671,261601.8670321317
1672,319541.2324722924
1673,255924.29943262856
1674,230894.7449957169
1675,188806.0144145237
1676,177049.38344834172
1677,190931.03613493603
1678,354688.8836434357
1679,303418.9933642082
1680,261679.52762775047
1681,199606.60520374685
1682,259913.74088100213
1683,177460.68274789298
1684,157193.67761920678
1685,157020.81370595505
1686,146975.23359672824
1687,150974.17329379593
1688,183266.35382192937
1689,196514.7281015183
1690,163641.1572122383
1691,153264.59685497134
1692,204437.69751693853
1693,142485.63643388753
1694,165458.25570722623
1695,147342.82598006926
1696,265320.42129527096
1697,147743.09913503795
1698,305625.2969195629
1699,284463.5858006726
1700,225667.78533377603
1701,267934.7207942787
1702,233604.72153517127
1703,229068.5473906782
1704,224978.30695674324
1705,215098.05092059117
1706,346703.8082316046
1707,197675.51867805517
